cc-d-01.02.03.01,"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie, Geschlecht und Gemeinde, am 31.12.2024",,,,,,,,
,Provisorische Jahresergebnisse,,,,,,,,
"Kanton, Bezirk und Gemeinde",Total,,,Schweizer,,,Ausländer 1,,
,Total,Mann,Frau,Total,Mann,Frau,Total,Mann,Frau
......5073 Giornico,801,416,385,567,278,289,234,138,96
......5076 Personico,317,158,159,263,132,131,54,26,28
......5077 Pollegio,920,479,441,604,311,293,316,168,148
......5078 Prato (Leventina),376,203,173,309,158,151,67,45,22
......5079 Quinto,926,472,454,713,355,358,213,117,96
>> Distretto di Locarno,64330,30931,33399,47537,22315,25222,16793,8616,8177
......5091 Ascona,5322,2489,2833,3857,1751,2106,1465,738,727
......5096 Brione sopra Minusio,436,214,222,349,158,191,87,56,31
......5097 Brissago,1619,788,831,1221,578,643,398,210,188
......5108 Gordola,4831,2398,2433,3881,1901,1980,950,497,453
......5112 Lavertezzo,1253,669,584,885,447,438,368,222,146
......5113 Locarno,16371,7756,8615,10515,4802,5713,5856,2954,2902
......5115 Losone,6727,3243,3484,5021,2347,2674,1706,896,810
......5117 Mergoscia,202,100,102,184,89,95,18,11,7
......5118 Minusio,7321,3401,3920,5486,2495,2991,1835,906,929
......5120 Muralto,2572,1188,1384,1801,805,996,771,383,388
......5121 Orselina,687,336,351,541,262,279,146,74,72
......5125 Ronco sopra Ascona,522,277,245,391,209,182,131,68,63
......5131 Tenero-Contra,3393,1626,1767,2500,1178,1322,893,448,445
......5136 Onsernone,663,336,327,594,303,291,69,33,36
......5138 Cugnasco-Gerra,2858,1418,1440,2413,1191,1222,445,227,218
......5395 Lema,2662,,,,,,,,
......5396 Terre di Pedemonte,2685,1265,1420,2369,1109,1260,316,156,160
......5397 Centovalli,1070,543,527,954,473,481,116,70,46
......5398 Gambarogno,5022,2505,2517,3856,1870,1986,1166,635,531
......5399 Verzasca,776,379,397,719,347,372,57,32,25
>> Distretto di Lugano,154926,75261,79665,103355,48872,54483,51571,26389,25182
......5141 Agno,4554,2159,2395,3035,1380,1655,1519,779,740
......5143 Aranno,351,169,182,304,143,161,47,26,21
......5144 Arogno,938,455,483,827,385,442,111,70,41
......5146 Astano,313,148,165,269,120,149,44,28,16
......5148 Bedano,1510,731,779,1260,609,651,250,122,128
......5149 Bedigliora,619,313,306,525,262,263,94,51,43
......5151 Bioggio,2801,1370,1431,2169,1020,1149,632,350,282
......5154 Bissone,930,472,458,505,243,262,425,229,196
......5160 Brusino Arsizio,474,247,227,351,168,183,123,79,44
......5161 Cademario,789,384,405,646,310,336,143,74,69
......5162 Cadempino,1585,795,790,1123,542,581,462,253,209
......5167 Canobbio,2404,1178,1226,1693,807,886,711,371,340
......5171 Caslano,4398,2051,2347,3048,1371,1677,1350,680,670
......5176 Comano,2186,1059,1127,1901,911,990,285,148,137
......5180 Cureglia,1482,699,783,1204,567,637,278,132,146
......5181 Curio,587,287,300,491,239,252,96,48,48
......5186 Grancia,468,237,231,312,162,150,156,75,81
......5187 Gravesano,1398,675,723,1079,507,572,319,168,151
......5189 Lamone,1757,850,907,1131,534,597,626,316,310
......5192 Lugano,63621,30771,32850,37983,17795,20188,25638,12976,12662
......5193 Magliaso,1622,764,858,1222,562,660,400,202,198
......5194 Manno,1373,685,688,1071,518,553,302,167,135
......5196 Massagno,6799,3206,3593,3661,1663,1998,3138,1543,1595
......5198 Melide,1785,894,891,1111,542,569,674,352,322
......5199 Mezzovico-Vira,1389,699,690,1172,592,580,217,107,110
......5200 Miglieglia,293,143,150,253,121,132,40,22,18
......5203 Morcote,713,360,353,412,199,213,301,161,140
......5205 Muzzano,805,368,437,632,277,355,173,91,82
......5206 Neggio,328,156,172,275,130,145,53,26,27
......5207 Novaggio,850,414,436,730,352,378,120,62,58
......5208 Origlio,1526,718,808,1262,597,665,264,121,143
......5210 Paradiso,4854,2543,2311,1866,906,960,2988,1637,1351
......5212 Ponte Capriasca,1958,957,1001,1629,798,831,329,159,170
......5214 Porza,1717,825,892,1243,584,659,474,241,233
......5216 Pura,1355,652,703,1059,486,573,296,166,130
......5221 Savosa,2276,1069,1207,1522,716,806,754,353,401
......5225 Sorengo,2183,994,1189,1349,598,751,834,396,438
......5226 Capriasca,6717,3305,3412,5961,2905,3056,756,400,356
......5227 Torricella-Taverne,3087,1538,1549,2261,1089,1172,826,449,377
......5230 Vernate,613,301,312,493,243,250,120,58,62
......5231 Vezia,1958,947,1011,1427,672,755,531,275,256
......5233 Vico Morcote,407,217,190,227,124,103,180,93,87
......5236 Collina d'Oro,4903,2386,2517,3159,1533,1626,1744,853,891
......5237 Alto Malcantone,1390,668,722,1239,586,653,151,82,69
......5238 Monteceneri,4729,2395,2334,3827,1898,1929,902,497,405
......5239 Tresa,3126,1528,1598,2345,1106,1239,781,422,359
......5240 Val Mara,3005,1479,1526,2091,1000,1091,914,479,435
>> Distretto di Mendrisio,50446,24619,25827,36533,17402,19131,13913,7217,6696
......5242 Balerna,3355,1630,1725,2360,1122,1238,995,508,487
......5249 Castel San Pietro,2262,1116,1146,1963,964,999,299,152,147
......5250 Chiasso,7563,3743,3820,4150,1950,2200,3413,1793,1620
......5251 Coldrerio,2834,1340,1494,2288,1072,1216,546,268,278
......5254 Mendrisio,15083,7326,7757,11192,5350,5842,3891,1976,1915
......5257 Morbio Inferiore,4412,2085,2327,3187,1476,1711,1225,609,616
......5260 Novazzano,2339,1139,1200,1857,884,973,482,255,227
......5263 Riva San Vitale,2695,1332,1363,2134,1025,1109,561,307,254
......5266 Stabio,4522,2270,2252,3370,1642,1728,1152,628,524
......5268 Vacallo,3491,1715,1776,2358,1113,1245,1133,602,531
......5269 Breggia,1890,923,967,1674,804,870,216,119,97
>> Distretto di Riviera,10470,5320,5150,6976,3450,3526,3494,1870,1624
......5281 Biasca,6201,3166,3035,3980,2010,1970,2221,1156,1065
......5287 Riviera,4269,2154,2115,2996,1440,1556,1273,714,559
>> Distretto di Vallemaggia,5992,2954,3038,5357,2629,2728,635,325,310
......5304 Bosco/Gurin,47,29,18,44,27,17,3,2,1
......5307 Campo (Vallemaggia),49,29,20,42,25,17,7,4,3
......5309 Cerentino,37,23,14,35,22,13,2,1,1
......5310 Cevio,1111,525,586,964,445,519,147,80,67
......5315 Linescio,41,22,19,37,20,17,4,2,2
......5317 Maggia,2675,1314,1361,2398,1176,1222,277,138,139
......5323 Lavizzara,498,261,237,464,246,218,34,15,19
......5324 Avegno Gordevio,1534,751,783,1373,668,705,161,83,78
- Vaud,854912,420786,434126,564451,269050,295401,290461,151736,138725
>> District d'Aigle,49959,24666,25293,31302,15050,16252,18657,9616,9041
......5401 Aigle,11749,5714,6035,6731,3174,3557,5018,2540,2478
......5402 Bex,8838,4383,4455,5678,2693,2985,3160,1690,1470
......5403 Chessel,527,257,270,396,192,204,131,65,66
......5404 Corbeyrier,452,226,226,400,195,205,52,31,21
......5405 Gryon,1518,788,730,1034,526,508,484,262,222
......5406 Lavey-Morcles,1014,500,514,798,392,406,216,108,108
......5407 Leysin,3659,1848,1811,1820,913,907,1839,935,904
......5408 Noville,1212,608,604,909,459,450,303,149,154
......5409 Ollon,8223,4012,4211,5242,2538,2704,2981,1474,1507
......5410 Ormont-Dessous,1242,623,619,998,500,498,244,123,121
......5411 Ormont-Dessus,1433,716,717,1083,521,562,350,195,155
......5412 Rennaz,949,471,478,616,286,330,333,185,148
......5413 Roche (VD),1994,969,1025,1292,610,682,702,359,343
......5414 Villeneuve (VD),6040,2994,3046,3451,1631,1820,2589,1363,1226
......5415 Yvorne,1109,557,552,854,420,434,255,137,118
>> District de la Broye-Vully,47715,23746,23969,31810,15411,16399,15905,8335,7570
......5451 Avenches,4874,2443,2431,2869,1385,1484,2005,1058,947
......5456 Cudrefin,1885,971,914,1596,824,772,289,147,142
......5458 Faoug,895,438,457,695,330,365,200,108,92
......5464 Vully-les-Lacs,3626,1787,1839,2953,1450,1503,673,337,336
......5663 Bussy-sur-Moudon,262,127,135,218,103,115,44,24,20
......5665 Chavannes-sur-Moudon,229,104,125,211,97,114,18,7,11
......5669 Curtilles,308,150,158,271,132,139,37,18,19
......5671 Dompierre (VD),240,120,120,210,105,105,30,15,15
......5673 Hermenches,373,198,175,321,168,153,52,30,22
......5674 Lovatens,146,69,77,139,68,71,7,1,6
......5675 Lucens,4736,2354,2382,2815,1328,1487,1921,1026,895
......5678 Moudon,6634,3334,3300,3616,1702,1914,3018,1632,1386
......5683 Prévonloup,230,109,121,206,96,110,24,13,11
......5684 Rossenges,90,45,45,71,36,35,19,9,10
......5688 Syens,151,81,70,118,66,52,33,15,18
......5690 Villars-le-Comte,132,60,72,117,55,62,15,5,10
......5692 Vucherens,621,312,309,517,253,264,104,59,45
......5785 Corcelles-le-Jorat,499,246,253,411,195,216,88,51,37
......5798 Ropraz,530,278,252,406,203,203,124,75,49
......5803 Vulliens,628,321,307,554,281,273,74,40,34
......5812 Champtauroz,196,102,94,175,90,85,21,12,9
......5813 Chevroux,494,238,256,436,208,228,58,30,28
......5816 Corcelles-près-Payerne,2981,1423,1558,2009,947,1062,972,476,496
......5817 Grandcour,976,493,483,803,394,409,173,99,74
......5819 Henniez,468,239,229,354,179,175,114,60,54
......5821 Missy,383,201,182,311,161,150,72,40,32
......5822 Payerne,10754,5303,5451,5992,2858,3134,4762,2445,2317
......5827 Trey,318,157,161,267,133,134,51,24,27
......5828 Treytorrens (Payerne),108,59,49,99,54,45,9,5,4
......5830 Villarzel,523,258,265,434,211,223,89,47,42
......5831 Valbroye,3425,1726,1699,2616,1299,1317,809,427,382
>> District du Gros-de-Vaud,48502,24183,24319,39281,19154,20127,9221,5029,4192
......5471 Bettens,646,336,310,533,268,265,113,68,45
......5472 Bournens,531,269,262,417,211,206,114,58,56
......5473 Boussens,1006,486,520,853,408,445,153,78,75
......5480 Daillens,1097,521,576,889,412,477,208,109,99
......5487 Lussery-Villars,470,236,234,393,191,202,77,45,32
......5489 Mex (VD),807,398,409,594,279,315,213,119,94
......5495 Penthalaz,3169,1505,1664,2257,1037,1220,912,468,444
......5496 Penthaz,1944,985,959,1457,712,745,487,273,214
......5501 Sullens,1226,626,600,962,474,488,264,152,112
......5503 Vufflens-la-Ville,1342,679,663,1113,545,568,229,134,95
......5511 Assens,1716,885,831,1440,714,726,276,171,105
......5512 Bercher,1344,664,680,1105,532,573,239,132,107
......5514 Bottens,1354,680,674,1104,535,569,250,145,105
......5515 Bretigny-sur-Morrens,899,432,467,719,336,383,180,96,84
......5516 Cugy (VD),2787,1378,1409,2129,1035,1094,658,343,315
......5518 Echallens,6718,3269,3449,5035,2364,2671,1683,905,778
......5520 Essertines-sur-Yverdon,1142,598,544,966,510,456,176,88,88
......5521 Etagnières,1189,594,595,928,454,474,261,140,121
......5522 Fey,789,409,380,706,360,346,83,49,34
......5523 Froideville,2728,1387,1341,2240,1133,1107,488,254,234
......5527 Morrens (VD),1154,579,575,949,472,477,205,107,98
......5529 Oulens-sous-Echallens,603,304,299,530,259,271,73,45,28
......5530 Pailly,575,296,279,504,260,244,71,36,35
......5531 Penthéréaz,430,210,220,394,190,204,36,20,16
......5533 Poliez-Pittet,850,416,434,700,330,370,150,86,64
......5534 Rueyres,304,152,152,260,131,129,44,21,23
......5535 Saint-Barthélemy (VD),834,429,405,729,377,352,105,52,53
......5537 Villars-le-Terroir,1306,654,652,1133,558,575,173,96,77
......5539 Vuarrens,1119,583,536,940,480,460,179,103,76
......5540 Montilliez,1872,936,936,1621,801,820,251,135,116
......5541 Goumoëns,1206,597,609,1048,511,537,158,86,72
......5661 Boulens,368,180,188,339,168,171,29,12,17
......5680 Ogens,341,163,178,300,141,159,41,22,19
......5693 Montanaire,2860,1449,1411,2497,1232,1265,363,217,146
......5804 Jorat-Menthue,1574,792,782,1339,655,684,235,137,98
......5923 Oppens,202,106,96,158,79,79,44,27,17
>> District du Jura-Nord vaudois,96635,48066,48569,70716,34316,36400,25919,13750,12169
......5551 Bonvillars,517,246,271,482,228,254,35,18,17
......5552 Bullet,681,333,348,618,301,317,63,32,31
......5553 Champagne,1070,539,531,889,437,452,181,102,79
......5554 Concise,1025,515,510,849,419,430,176,96,80
......5555 Corcelles-près-Concise,434,201,233,377,173,204,57,28,29
......5556 Fiez,431,226,205,388,199,189,43,27,16
......5557 Fontaines-sur-Grandson,220,106,114,191,93,98,29,13,16
......5559 Giez,464,246,218,406,213,193,58,33,25
......5560 Grandevent,241,116,125,201,98,103,40,18,22
......5561 Grandson,3391,1687,1704,2727,1328,1399,664,359,305
......5562 Mauborget,145,75,70,117,60,57,28,15,13
......5563 Mutrux,145,71,74,132,65,67,13,6,7
......5564 Novalles,106,50,56,96,43,53,10,7,3
......5565 Onnens (VD),513,259,254,447,225,222,66,34,32
......5566 Provence,409,222,187,370,200,170,39,22,17
......5568 Sainte-Croix,5138,2566,2572,3900,1905,1995,1238,661,577
......5571 Tévenon,862,428,434,736,362,374,126,66,60
......5741 L'Abergement,270,127,143,249,115,134,21,12,9
......5742 Agiez,372,179,193,311,145,166,61,34,27
......5743 Arnex-sur-Orbe,694,344,350,591,292,299,103,52,51
......5744 Ballaigues,1218,614,604,880,434,446,338,180,158
......5745 Baulmes,1165,592,573,949,468,481,216,124,92
......5746 Bavois,1041,538,503,853,435,418,188,103,85
......5747 Bofflens,200,94,106,194,90,104,6,4,2
......5748 Bretonnières,261,124,137,247,119,128,14,5,9
......5749 Chavornay,5437,2739,2698,3977,1914,2063,1460,825,635
......5750 Les Clées,193,92,101,177,84,93,16,8,8
......5752 Croy,403,180,223,359,157,202,44,23,21
......5754 Juriens,348,170,178,323,156,167,25,14,11
......5755 Lignerolle,461,239,222,358,184,174,103,55,48
......5756 Montcherand,489,240,249,426,213,213,63,27,36
......5757 Orbe,7973,3990,3983,5216,2460,2756,2757,1530,1227
......5758 La Praz,207,106,101,169,83,86,38,23,15
......5759 Premier,228,121,107,207,109,98,21,12,9
......5760 Rances,509,247,262,441,209,232,68,38,30
......5761 Romainmôtier-Envy,560,276,284,472,229,243,88,47,41
......5762 Sergey,133,74,59,120,66,54,13,8,5
......5763 Valeyres-sous-Rances,578,298,280,501,253,248,77,45,32
......5764 Vallorbe,4319,2208,2111,2831,1403,1428,1488,805,683
......5765 Vaulion,488,245,243,421,206,215,67,39,28
......5766 Vuiteboeuf,608,303,305,489,245,244,119,58,61
......5871 L'Abbaye,1540,749,791,1275,623,652,265,126,139
......5872 Le Chenit,4751,2420,2331,3459,1694,1765,1292,726,566
......5873 Le Lieu,918,478,440,778,405,373,140,73,67
......5902 Belmont-sur-Yverdon,445,231,214,398,202,196,47,29,18
......5903 Bioley-Magnoux,257,135,122,242,124,118,15,11,4
......5904 Chamblon,554,287,267,481,245,236,73,42,31
......5905 Champvent,724,357,367,607,295,312,117,62,55
......5907 Chavannes-le-Chêne,322,150,172,288,132,156,34,18,16
......5908 Chêne-Pâquier,173,88,85,151,77,74,22,11,11
......5909 Cheseaux-Noréaz,736,375,361,628,321,307,108,54,54
......5910 Cronay,426,218,208,400,203,197,26,15,11
......5911 Cuarny,241,127,114,209,111,98,32,16,16
......5912 Démoret,173,88,85,160,78,82,13,10,3
......5913 Donneloye,916,437,479,778,372,406,138,65,73
......5914 Ependes (VD),379,179,200,312,144,168,67,35,32
......5919 Mathod,725,366,359,580,278,302,145,88,57
......5921 Molondin,269,131,138,228,106,122,41,25,16
......5922 Montagny-près-Yverdon,780,396,384,640,319,321,140,77,63
......5924 Orges,424,221,203,369,191,178,55,30,25
......5925 Orzens,214,105,109,192,91,101,22,14,8
......5926 Pomy,876,444,432,805,404,401,71,40,31
......5928 Rovray,194,95,99,173,84,89,21,11,10
......5929 Suchy,663,347,316,560,285,275,103,62,41
......5930 Suscévaz,234,116,118,183,89,94,51,27,24
......5931 Treycovagnes,515,257,258,423,206,217,92,51,41
......5932 Ursins,232,122,110,195,102,93,37,20,17
......5933 Valeyres-sous-Montagny,707,339,368,593,285,308,114,54,60
......5934 Valeyres-sous-Ursins,235,117,118,219,106,113,16,11,5
......5935 Villars-Epeney,108,62,46,90,53,37,18,9,9
......5937 Vugelles-La Mothe,146,70,76,126,59,67,20,11,9
......5938 Yverdon-les-Bains,30287,14841,15446,18523,8812,9711,11764,6029,5735
......5939 Yvonand,3524,1692,1832,2964,1402,1562,560,290,270
>> District de Lausanne,174885,85214,89671,104670,48816,55854,70215,36398,33817
......5582 Cheseaux-sur-Lausanne,4845,2368,2477,3617,1691,1926,1228,677,551
......5584 Epalinges,9904,4755,5149,6899,3241,3658,3005,1514,1491
......5585 Jouxtens-Mézery,1477,749,728,1227,621,606,250,128,122
......5586 Lausanne,144809,70442,74367,83015,38462,44553,61794,31980,29814
......5587 Le Mont-sur-Lausanne,9530,4775,4755,6847,3357,3490,2683,1418,1265
......5592 Romanel-sur-Lausanne,4320,2125,2195,3065,1444,1621,1255,681,574
>> District de Lavaux-Oron,65704,31873,33831,48381,22984,25397,17323,8889,8434
......5581 Belmont-sur-Lausanne,3915,1949,1966,2922,1448,1474,993,501,492
......5588 Paudex,1509,736,773,998,481,517,511,255,256
......5590 Pully,19534,9211,10323,13161,6040,7121,6373,3171,3202
......5601 Chexbres,2261,1038,1223,1710,755,955,551,283,268
......5604 Forel (Lavaux),2087,1035,1052,1674,804,870,413,231,182
......5606 Lutry,10748,5206,5542,7850,3740,4110,2898,1466,1432
......5607 Puidoux,2974,1516,1458,2047,1026,1021,927,490,437
......5609 Rivaz,329,166,163,288,146,142,41,20,21
......5610 Saint-Saphorin (Lavaux),387,201,186,316,164,152,71,37,34
......5611 Savigny,3515,1764,1751,2759,1360,1399,756,404,352
......5613 Bourg-en-Lavaux,5464,2723,2741,4295,2106,2189,1169,617,552
......5790 Maracon,569,266,303,505,229,276,64,37,27
......5792 Montpreveyres,656,331,325,496,243,253,160,88,72
......5799 Servion,2228,1112,1116,1848,903,945,380,209,171
......5805 Oron,6339,3084,3255,4847,2290,2557,1492,794,698
......5806 Jorat-Mézières,3189,1535,1654,2665,1249,1416,524,286,238
>> District de Morges,88780,43689,45091,63806,30547,33259,24974,13142,11832
......5422 Aubonne,3856,1940,1916,2643,1287,1356,1213,653,560
......5423 Ballens,579,286,293,464,225,239,115,61,54
......5424 Berolle,303,153,150,258,136,122,45,17,28
......5425 Bière,1668,843,825,1109,532,577,559,311,248
......5426 Bougy-Villars,514,249,265,367,178,189,147,71,76
......5427 Féchy,923,460,463,646,311,335,277,149,128
......5428 Gimel,2457,1199,1258,1760,821,939,697,378,319
......5431 Mollens (VD),324,176,148,267,143,124,57,33,24
......5435 Saint-Livres,715,350,365,585,278,307,130,72,58
......5436 Saint-Oyens,457,230,227,381,186,195,76,44,32
......5437 Saubraz,447,229,218,324,160,164,123,69,54
......5474 La Chaux (Cossonay),432,221,211,373,186,187,59,35,24
......5475 Chavannes-le-Veyron,160,79,81,145,73,72,15,6,9
......5476 Chevilly,346,169,177,290,139,151,56,30,26
......5477 Cossonay,4891,2379,2512,3618,1689,1929,1273,690,583
......5479 Cuarnens,561,299,262,485,253,232,76,46,30
......5481 Dizy,238,117,121,213,105,108,25,12,13
......5482 Eclépens,1210,618,592,909,451,458,301,167,134
......5483 Ferreyres,309,163,146,281,148,133,28,15,13
......5484 Gollion,1065,524,541,864,418,446,201,106,95
......5485 Grancy,538,262,276,449,219,230,89,43,46
......5486 L'Isle,1094,551,543,935,460,475,159,91,68
......5488 Mauraz,67,34,33,54,27,27,13,7,6
......5490 Moiry,300,150,150,273,132,141,27,18,9
......5491 Mont-la-Ville,496,257,239,427,219,208,69,38,31
......5492 Montricher,943,463,480,779,373,406,164,90,74
......5493 Orny,497,244,253,404,190,214,93,54,39
......5497 Pompaples,932,470,462,660,321,339,272,149,123
......5498 La Sarraz,2614,1236,1378,1848,853,995,766,383,383
......5499 Senarclens,480,252,228,378,198,180,102,54,48
......5621 Aclens,586,311,275,440,229,211,146,82,64
......5622 Bremblens,614,310,304,537,266,271,77,44,33
......5623 Buchillon,686,335,351,520,255,265,166,80,86
......5628 Chigny,420,220,200,329,173,156,91,47,44
......5629 Clarmont,228,109,119,178,86,92,50,23,27
......5631 Denens,742,359,383,595,277,318,147,82,65
......5632 Denges,1830,932,898,1211,586,625,619,346,273
......5633 Echandens,2999,1515,1484,2006,940,1066,993,575,418
......5634 Echichens,3218,1534,1684,2567,1212,1355,651,322,329
......5636 Etoy,2962,1464,1498,2083,1009,1074,879,455,424
......5637 Lavigny,1099,555,544,823,408,415,276,147,129
......5638 Lonay,2732,1306,1426,2156,1009,1147,576,297,279
......5639 Lully (VD),836,425,411,694,352,342,142,73,69
......5640 Lussy-sur-Morges,719,338,381,599,280,319,120,58,62
......5642 Morges,17699,8524,9175,11027,5092,5935,6672,3432,3240
......5643 Préverenges,5259,2572,2687,3571,1697,1874,1688,875,813
......5645 Romanel-sur-Morges,454,228,226,380,197,183,74,31,43
......5646 Saint-Prex,5865,2858,3007,3728,1759,1969,2137,1099,1038
......5649 Tolochenaz,1934,962,972,1316,634,682,618,328,290
......5650 Vaux-sur-Morges,185,96,89,153,80,73,32,16,16
......5652 Villars-sous-Yens,602,295,307,492,242,250,110,53,57
......5653 Vufflens-le-Château,837,427,410,689,349,340,148,78,70
......5654 Vullierens,547,279,268,442,225,217,105,54,51
......5655 Yens,1498,772,726,1164,598,566,334,174,160
......5656 Hautemorges,4383,2149,2234,3606,1733,1873,777,416,361
......5851 Allaman,430,211,219,311,148,163,119,63,56
>> District de Nyon,107566,52872,54694,71679,34498,37181,35887,18374,17513
......5429 Longirod,556,283,273,451,229,222,105,54,51
......5430 Marchissy,508,265,243,418,217,201,90,48,42
......5434 Saint-George,1081,540,541,825,413,412,256,127,129
......5701 Arnex-sur-Nyon,270,145,125,205,107,98,65,38,27
......5702 Arzier-Le Muids,2968,1486,1482,2164,1085,1079,804,401,403
......5703 Bassins,1483,734,749,1137,549,588,346,185,161
......5704 Begnins,2036,976,1060,1473,667,806,563,309,254
......5705 Bogis-Bossey,991,508,483,660,324,336,331,184,147
......5706 Borex,1146,571,575,839,405,434,307,166,141
......5707 Chavannes-de-Bogis,1384,684,700,868,418,450,516,266,250
......5708 Chavannes-des-Bois,983,487,496,645,314,331,338,173,165
......5709 Chéserex,1279,630,649,963,470,493,316,160,156
......5710 Coinsins,519,247,272,416,198,218,103,49,54
......5711 Commugny,2973,1454,1519,1825,871,954,1148,583,565
......5712 Coppet,3231,1594,1637,2059,1015,1044,1172,579,593
......5713 Crans (VD),2446,1217,1229,1715,831,884,731,386,345
......5714 Crassier,1274,623,651,959,466,493,315,157,158
......5715 Duillier,1140,571,569,896,448,448,244,123,121
......5716 Eysins,1774,857,917,1227,573,654,547,284,263
......5717 Founex,3763,1865,1898,2263,1106,1157,1500,759,741
......5718 Genolier,2011,998,1013,1466,731,735,545,267,278
......5719 Gingins,1256,593,663,979,455,524,277,138,139
......5720 Givrins,1068,535,533,821,403,418,247,132,115
......5721 Gland,13983,6835,7148,9054,4268,4786,4929,2567,2362
......5722 Grens,391,191,200,324,160,164,67,31,36
......5723 Mies,2179,1007,1172,1370,615,755,809,392,417
......5724 Nyon,23351,11411,11940,13831,6532,7299,9520,4879,4641
......5725 Prangins,4270,2034,2236,3000,1403,1597,1270,631,639
......5726 La Rippe,1196,576,620,915,430,485,281,146,135
......5727 Saint-Cergue,3009,1595,1414,2027,1067,960,982,528,454
......5728 Signy-Avenex,608,296,312,455,222,233,153,74,79
......5729 Tannay,1745,834,911,1135,547,588,610,287,323
......5730 Trélex,1426,706,720,1108,547,561,318,159,159
......5731 Le Vaud,1367,686,681,1117,560,557,250,126,124
......5732 Vich,1181,595,586,822,402,420,359,193,166
......5852 Bursinel,532,264,268,387,183,204,145,81,64
......5853 Bursins,814,418,396,622,306,316,192,112,80
......5854 Burtigny,401,202,199,328,164,164,73,38,35
......5855 Dully,620,291,329,453,212,241,167,79,88
......5856 Essertines-sur-Rolle,785,399,386,576,295,281,209,104,105
......5857 Gilly,1441,708,733,1052,507,545,389,201,188
......5858 Luins,633,322,311,448,219,229,185,103,82
......5859 Mont-sur-Rolle,2750,1336,1414,2003,965,1038,747,371,376
......5860 Perroy,1584,794,790,1108,545,563,476,249,227
......5861 Rolle,6538,3195,3343,3825,1830,1995,2713,1365,1348
......5862 Tartegnin,235,119,116,159,81,78,76,38,38
......5863 Vinzel,387,195,192,286,143,143,101,52,49
>> District de l'Ouest lausannois,85827,43758,42069,45296,21564,23732,40531,22194,18337
......5583 Crissier,10673,5496,5177,5905,2828,3077,4768,2668,2100
......5589 Prilly,12754,6249,6505,7131,3307,3824,5623,2942,2681
......5591 Renens (VD),21531,10988,10543,10643,5089,5554,10888,5899,4989
......5624 Bussigny,11630,5835,5795,6963,3348,3615,4667,2487,2180
......5627 Chavannes-près-Renens,9771,5133,4638,4219,2006,2213,5552,3127,2425
......5635 Ecublens (VD),13362,6887,6475,6989,3317,3672,6373,3570,2803
......5648 Saint-Sulpice (VD),5153,2697,2456,2730,1318,1412,2423,1379,1044
......5651 Villars-Sainte-Croix,953,473,480,716,351,365,237,122,115
>> District de la Riviera-Pays-d'Enhaut,89339,42719,46620,57510,26710,30800,31829,16009,15820
......5841 Château-d'Oex,3653,1772,1881,2593,1245,1348,1060,527,533
......5842 Rossinière,499,242,257,435,208,227,64,34,30
......5843 Rougemont,813,419,394,539,271,268,274,148,126
......5882 Chardonne,3337,1609,1728,2538,1210,1328,799,399,400
......5883 Corseaux,2320,1086,1234,1675,769,906,645,317,328
......5884 Corsier-sur-Vevey,3386,1655,1731,2306,1096,1210,1080,559,521
......5885 Jongny,1928,946,982,1403,669,734,525,277,248
......5886 Montreux,26953,12886,14067,14728,6789,7939,12225,6097,6128
......5889 La Tour-de-Peilz,12812,5991,6821,8972,4070,4902,3840,1921,1919
......5890 Vevey,20139,9600,10539,12165,5552,6613,7974,4048,3926
......5891 Veytaux,1036,511,525,611,297,314,425,214,211
......5892 Blonay - Saint-Légier,12463,6002,6461,9545,4534,5011,2918,1468,1450
- Valais / Wallis,371184,185443,185741,275044,133807,141237,96140,51636,44504
>> Bezirk Brig,28930,14386,14544,23292,11317,11975,5638,3069,2569
......6002 Brig-Glis,14080,6937,7143,10923,5225,5698,3157,1712,1445
......6004 Eggerberg,338,176,162,297,145,152,41,31,10
......6007 Naters,10675,5333,5342,8651,4241,4410,2024,1092,932
......6008 Ried-Brig,2310,1172,1138,2057,1033,1024,253,139,114
......6009 Simplon,281,145,136,275,139,136,6,6,.
......6010 Termen,1175,571,604,1042,504,538,133,67,66
......6011 Zwischbergen,71,52,19,47,30,17,24,22,2
>> District de Conthey,31541,15715,15826,23699,11474,12225,7842,4241,3601
......6021 Ardon,3833,1925,1908,2489,1200,1289,1344,725,619
......6022 Chamoson,4384,2181,2203,3575,1733,1842,809,448,361
......6023 Conthey,9405,4705,4700,6901,3341,3560,2504,1364,1140
......6024 Nendaz,7314,3685,3629,5875,2895,2980,1439,790,649
......6025 Vétroz,6605,3219,3386,4859,2305,2554,1746,914,832
>> District d'Entremont,16308,8404,7904,12082,6085,5997,4226,2319,1907
......6032 Bourg-Saint-Pierre,222,116,106,185,93,92,37,23,14
......6033 Liddes,770,394,376,694,356,338,76,38,38
......6034 Orsières,3300,1732,1568,2724,1383,1341,576,349,227
......6035 Sembrancher,1110,582,528,867,431,436,243,151,92
......6037 Val de Bagnes,10906,5580,5326,7612,3822,3790,3294,1758,1536
>> Bezirk Goms,4453,2281,2172,3820,1951,1869,633,330,303
......6052 Bellwald,363,190,173,304,163,141,59,27,32
......6054 Binn,129,69,60,115,63,52,14,6,8
......6056 Ernen,544,280,264,475,243,232,69,37,32
......6057 Fiesch,910,474,436,737,389,348,173,85,88
